,Datetime,Text,Username,UserLocation,ReplyCount,LikeCount,RetweetCount
97,2022-02-22 02:34:16+00:00,Fellow #artists! We need YOU to join @TeamAnnualia so we can continue making the magic happen! Email me if you are interested! #TalesofAnnualia https://t.co/W9mfox4OQZ,JordantheCat11,"New York, USA",0,6,3
98,2022-02-22 02:33:20+00:00,@_uniqueb Okay but after living out of New York for about 5 years.. we just visited and the potholes/traffic/construction everywhere is a no from me 😂,kranzie_x,New York,2,1,0
99,2022-02-22 02:27:35+00:00,Good &amp; Bad Drivers: Car Crash Compilation – 380 [USA &amp; Canada Only] https://t.co/u5tTEBYiqi,724accidents,"New York, US",0,0,0
100,2022-02-22 02:26:52+00:00,Traffic is at a standstill on the Southbound #FDRDrive approaching 79th Street where a stalled car blocks the left lane #Manhattan @511NY @1010WINS https://t.co/oeR8nQVFK9,WINSTRAFFICNYC,New York,0,0,0
101,2022-02-22 02:23:52+00:00,"@MTLegalAF @mspopok @KFAlegal Fl... if a teacher outs a LGBTQ student to a parent and that results in harm at the home, does that make the teacher/school liable?  Like a bartender giving one to many to a person who ends up killing someone in a car crash?  I mean, if violence occurs, isn't there recourse?",ColleenDewine,New York,0,0,0
102,2022-02-22 02:16:00+00:00,"Demonstrators @ChineseNYNYC parade came to protest years of demolition and construction for a new jail tower in Chinatown, to be the tallest jail in the world. Demolition of the Manhattan Detention Complex is imminent. https://t.co/uIB5V1xY7h https://t.co/lumRRH7dzf",TribecaTrib,"New York, NY",0,0,1
103,2022-02-22 02:10:12+00:00,Updated: Construction on #Q33Bus SB at 82 St/30 Av https://t.co/HhGkKz6VJm,511NY,New York State,0,0,0
104,2022-02-22 02:07:01+00:00,"Neither the mayor nor the City Council can set the speed limit, and they can’t control the traffic cameras that send automated tickets to drivers, two integral ways to reduce traffic crashes on streets across NYC.

Mayor Adams wants to change that. https://t.co/KtyTp73Bi5",WNYC,New York City,0,2,2
105,2022-02-22 02:06:16+00:00,"CLEARED HUDSON VALLEY: Vehicle on fire: SB on I-87 exit 18-exit 17: Right lane blocked: Incident clear, delays may exist.",ThruwayTraffic,New York ,0,0,0
106,2022-02-22 02:05:21+00:00,@StevieVanZandt Super corrupt and despicably disgusting. Tiger Woods barely made it out alive from his last spectacular car crash. This is what he wants to do with his life that was spared? Partner with a traitor who stole state secrets and incited an insurrection.,B52Malmet,"New York, NY",7,162,33
107,2022-02-22 01:57:08+00:00,"@TheView I missed this??? Ah, man! But YES! Guests should honor the host's request not to wear shoes in their home unless they doing construction or work in the house. If you're just visiting, respect the rules. #TheView",ClayBroomes,New York City,0,0,0
108,2022-02-22 01:56:57+00:00,Westbound Q55 buses have resumed making normal stops on Palmetto St after construction on Palmetto St between Irving Ave and Ridgewood Pl was completed. https://t.co/28S5roeopF,NYCTBus,New York City,0,0,0
109,2022-02-22 01:55:00+00:00,"@shadow @christofspieler Smithfield crossing to south Attleboro MBTA would capture a lot of routes and traffic, albeit the land use is meh. More so a crosstown connector",the_transit_guy,"New York, USA",1,0,0
110,2022-02-22 01:52:57+00:00,Eastbound B52 buses have resumed making normal stops on Palmetto St after construction on Palmetto St between Irving Ave and Ridgewood Pl was completed. https://t.co/oiZ3gDImkY,NYCTBus,New York City,0,0,0
111,2022-02-22 01:50:25+00:00,Shaina introduces him as her fiancé. Shaina's brothers are putting them both through the wringer. This is feeling like hometowns on The Bachelor. They warm to him while discussing construction and dirt biking (lol),AlyssaJennette,"Harlem, NYC",1,1,0
112,2022-02-22 01:46:35+00:00,"😭😭😭 … Oh man .. 

Side Note: DW a traffic cop?! LMAO 🤣 https://t.co/Bb7ZZHRaYN",PersonaSpeaks,"New York, NY",1,5,0
113,2022-02-22 01:41:09+00:00,"CLEARED BUFFALO: Injury crash: NB on I-190 exit 21-rte. 384: Right lane blocked: Incident clear, delays may exist.",ThruwayTraffic,New York ,0,0,0
114,2022-02-22 01:34:40+00:00,Or this guy. Blocking traffic because you are a lazy piece of shit isn’t the move my guy. https://t.co/12Uu0kvpSq,ecape_werd,"New York, NY",0,0,0
115,2022-02-22 01:34:00+00:00,Construction on #I278 WB from Congress Street to Summit Street https://t.co/aWXS93uHvd,511NY,New York State,0,0,0
116,2022-02-22 01:33:48+00:00,"#NetworkMarketingSuccess You are able to deal with any shortage of traffic by utilizing this tested strategy, just about all for nothing on Twitter https://t.co/EzZRMXag3V https://t.co/UqObm0An54",TheWealthZone,"New York, NY",0,0,0
117,2022-02-22 01:29:11+00:00,"Quick Question @TeamYouTube If I have a channel doing well but want to change the custom URL will that affect things?

Will changing my Custom URL affect my channel as far as traffic or my videos being on suggested videos often?",MagGamerInc,"New York, USA",1,0,0
118,2022-02-22 01:25:41+00:00,Good &amp; Bad Drivers: Car Crash Compilation – 342 [USA &amp; Canada Only] https://t.co/bMhZblBRXM,724accidents,"New York, US",0,0,0
119,2022-02-22 01:25:04+00:00,"Stephen Marley ft. Damien Marley - The Traffic Jam
listen live https://t.co/oszd4AXeqx",reallifespill,"New York, NY",0,0,0
120,2022-02-22 01:17:59+00:00,"#SuccessOnline Extremely fast growth of your email audience begins with generating traffic, view the video right here https://t.co/fGgbFMnGOc https://t.co/0A1ki27u7q",TheWealthZone,"New York, NY",0,0,0
121,2022-02-22 01:09:59+00:00,Construction on #Q33Bus SB at 82 St/30 Av https://t.co/HhGkKz6VJm,511NY,New York State,0,0,0
122,2022-02-22 01:08:49+00:00,HUDSON VALLEY: Vehicle on fire: SB on I-87 exit 18-exit 17: Right lane blocked,ThruwayTraffic,New York ,0,2,1
